year,date,value
2006,1,60.9
2006,2,62.1
2006,3,63.6
2006,4,64.6
2006,5,65
2006,6,65.2
2006,7,65.7
2006,8,66.6
2006,9,67.7
2006,10,70.6
2006,11,73.9
2006,12,75.9
2007,1,76.8
2007,2,76.7
2007,3,77.3
2007,4,76.7
2007,5,75.7
2007,6,76.8
2007,7,77.3
2007,8,78
2007,9,78.1
2007,10,78.4
2007,11,78.3
2007,12,78.4
2008,1,79.3
2008,2,80.4
2008,3,82.3
2008,4,84.1
2008,5,85.1
2008,6,85.4
2008,7,84.6
2008,8,84.6
2008,9,82.5
2008,10,79.4
2008,11,74.6
2008,12,70.2
2009,1,73.1
2009,2,76.1
2009,3,76.9
2009,4,79.2
2009,5,80.6
2009,6,82.3
2009,7,84
2009,8,85.9
2009,9,86.7
2009,10,86.2
2009,11,85
2009,12,84.7
2010,1,86
2010,2,85.9
2010,3,85.3
2010,4,83.5
2010,5,82.1
2010,6,81.2
2010,7,80.4
2010,8,80.1
2010,9,80.6
2010,10,80.8
2010,11,81.6
2010,12,82.6
2011,1,83.8
2011,2,84.5
2011,3,84.2
2011,4,83.6
2011,5,83.1
2011,6,82.6
2011,7,82.6
2011,8,82.7
2011,9,82.7
2011,10,82.1
2011,11,81.3
2011,12,80.4
2012,1,80.6
2012,2,80.2
2012,3,79.6
2012,4,78.9
2012,5,78.6
2012,6,78
2012,7,77
2012,8,76.1
2012,9,75.8
2012,10,75.7
2012,11,75.6
2012,12,74.8
2013,1,75.2
2013,2,75.5
2013,3,76.1
2013,4,76.4
2013,5,76.6
2013,6,76.1
2013,7,76
2013,8,76.4
2013,9,77.2
2013,10,77.5
2013,11,77.2
2013,12,77.1
2014,1,77.8
2014,2,78.4
2014,3,78.7
2014,4,78.6
2014,5,78.3
2014,6,78.3
2014,7,78.5
2014,8,79.2
2014,9,79.9
2014,10,80.2
2014,11,80.2
2014,12,80
2015,1,80.5
2015,2,81.2
2015,3,82.1
2015,4,82.8
2015,5,83.4
2015,6,83.9
2015,7,84.9
2015,8,85.5
2015,9,86.1
2015,10,86.7
2015,11,87
2015,12,86.5
2016,1,86.3
2016,2,86.4
2016,3,86.5
2016,4,86.9
2016,5,87.4
2016,6,88.4
2016,7,89.7
2016,8,90.8
2016,9,91.9
2016,10,93
2016,11,93
2016,12,92.3
2017,1,92
2017,2,92.2
2017,3,92.8
2017,4,92.9
2017,5,94.1
2017,6,95.8
2017,7,98
2017,8,98.3
2017,9,98.6
2017,10,99.6
2017,11,100
2017,12,100.9
2018,1,102.8
2018,2,104.7
2018,3,105.9
2018,4,107.3
2018,5,107.7
2018,6,108.3
2018,7,109.6
2018,8,114
2018,9,120.2
2018,10,121.3
2018,11,119.3
2018,12,118
2019,1,116.8
2019,2,115.8
2019,3,114.7
2019,4,114.6
2019,5,115.5
2019,6,117.8
2019,7,120.1
2019,8,121.6
2019,9,122.8
2019,10,124.5
2019,11,126.6
2019,12,128.5
2020,1,129.6
2020,2,131.3
2020,3,132.3
2020,4,131.2
2020,5,131.7
2020,6,135.9
2020,7,142.6
2020,8,147.3
2020,9,148.9
2020,10,150.1
2020,11,152.7
2020,12,155.6
2021,1,160.3
2021,2,163
2021,3,163.5
2021,4,164.5
2021,5,167.5
2021,6,171.6
